Date,Trane,Watsco,Carrier,Portfolio,% Elec,S&P500
1/1/2021,-1.25%,5.27%,2.07%,1.76%,-0.77%,-1.11%
2/1/2021,6.90%,1.93%,-5.12%,-0.32%,8.45%,2.61%
3/1/2021,8.04%,7.26%,15.58%,11.80%,-2.87%,4.24%
4/1/2021,5.00%,12.31%,3.22%,5.52%,-1.94%,5.24%
5/1/2021,7.23%,-0.50%,5.39%,4.75%,0.56%,0.55%
6/1/2021,-1.21%,-1.63%,5.81%,2.35%,5.24%,2.22%
7/1/2021,10.57%,-1.47%,13.68%,9.81%,1.78%,2.27%
8/1/2021,-2.51%,-1.42%,4.25%,1.21%,0.87%,2.90%
9/1/2021,-13.02%,-4.96%,-10.14%,-9.94%,0.35%,-4.76%
10/1/2021,4.80%,9.43%,0.91%,3.69%,-3.02%,6.91%
11/1/2021,3.16%,1.08%,3.62%,2.99%,-0.89%,-0.83%
12/1/2021,8.24%,6.89%,0.22%,3.81%,-0.99%,4.36%
1/1/2022,-14.32%,-9.69%,-12.09%,-12.25%,1.90%,-5.26%
2/1/2022,-11.07%,-3.36%,-5.87%,-6.85%,1.60%,-3.14%
3/1/2022,-0.80%,11.57%,2.21%,3.20%,0.53%,3.58%
4/1/2022,-8.39%,-12.43%,-16.57%,-13.43%,0.70%,-8.80%
5/1/2022,-1.31%,-4.18%,2.72%,0.22%,3.63%,0.01%
6/1/2022,-5.93%,-6.58%,-9.29%,-7.80%,6.43%,-8.39%
7/1/2022,13.18%,14.71%,13.66%,13.73%,2.90%,9.11%
8/1/2022,4.82%,-0.70%,-3.48%,-0.58%,2.44%,-4.24%
9/1/2022,-6.01%,-5.36%,-9.10%,-7.49%,-0.97%,-9.34%
10/1/2022,10.23%,5.24%,11.81%,10.07%,-4.88%,7.99%
11/1/2022,11.77%,-0.73%,11.47%,9.15%,-2.84%,5.38%
12/1/2022,-5.79%,-7.28%,-6.93%,-6.68%,0.81%,-5.90%
1/1/2023,6.56%,15.22%,10.38%,10.25%,2.26%,6.18%
2/1/2023,3.27%,6.03%,-1.10%,1.55%,-0.08%,-2.61%
3/1/2023,-0.54%,4.41%,1.60%,1.55%,-1.66%,3.51%
4/1/2023,0.99%,8.87%,-8.59%,-2.43%,-2.41%,1.46%
5/1/2023,-12.15%,-6.35%,-2.20%,-5.84%,0.41%,0.25%
6/1/2023,17.17%,17.60%,21.54%,19.52%,4.18%,6.47%
7/1/2023,4.28%,-0.86%,19.79%,11.31%,2.67%,3.11%
8/1/2023,2.92%,-3.61%,-3.53%,-1.72%,1.61%,-1.77%
9/1/2023,-1.14%,3.61%,-3.92%,-1.65%,-0.98%,-4.87%
10/1/2023,-6.21%,-7.63%,-13.66%,-10.36%,-3.58%,-2.20%
11/1/2023,18.44%,9.56%,9.02%,11.80%,-1.82%,8.92%
12/1/2023,8.20%,12.10%,10.57%,10.20%,-0.80%,4.42%
1/1/2024,3.34%,-8.75%,-4.77%,-3.25%,2.76%,1.59%
2/1/2024,11.87%,0.80%,1.59%,4.35%,0.39%,5.17%
3/1/2024,6.47%,9.60%,4.59%,6.11%,-0.71%,3.10%
4/1/2024,5.71%,3.65%,5.78%,5.34%,-0.32%,-4.16%
5/1/2024,3.19%,6.07%,2.76%,3.54%,-0.56%,4.80%
6/1/2024,0.45%,-2.46%,-0.17%,-0.45%,5.35%,3.47%
7/1/2024,1.63%,5.67%,7.97%,5.72%,3.71%,1.13%
8/1/2024,8.19%,-2.87%,6.86%,5.32%,-1.10%,2.28%
9/1/2024,7.48%,3.46%,10.59%,8.30%,-0.96%,2.02%
10/1/2024,-4.78%,-3.84%,-9.65%,-7.12%,-2.91%,-0.99%
11/1/2024,12.44%,16.61%,6.39%,10.12%,-3.38%,5.73%
12/1/2024,-11.26%,-14.09%,-11.77%,-12.08%,2.46%,-2.50%
1/1/2025,-1.79%,0.99%,-4.22%,-2.50%,1.71%,2.70%
2/1/2025,-2.49%,5.38%,-0.89%,-0.11%,0.84%,-1.42%
