Date,Price,Open,High,Low,Vol.,Change %
1/3/2022,11.25,11.02,11.47,10.77,2.23M,3.88%
1/4/2022,11.48,11.37,11.62,11.11,1.75M,2.04%
1/5/2022,11.92,11.49,12.56,11.39,4.41M,3.83%
1/6/2022,12.17,12,12.41,11.2,4.40M,2.10%
1/7/2022,11.62,11.89,12.1,11.56,1.98M,-4.52%
1/10/2022,12.09,11.64,12.4,11.3,3.44M,4.04%
1/11/2022,12.15,12.16,12.52,11.95,4.60M,0.50%
1/12/2022,12.73,12.2,13.09,11.98,6.53M,4.77%
1/13/2022,12.33,12.81,12.91,12.11,2.29M,-3.14%
1/14/2022,12.3,12.11,12.85,11.61,3.86M,-0.24%
1/18/2022,12.9,12.47,13.68,11.8,8.26M,4.88%
1/19/2022,12.62,13.2,13.49,12.53,4.10M,-2.17%
1/20/2022,12.2,12.7,12.93,12.13,5.50M,-3.33%
1/21/2022,11.86,12.19,12.38,11.5,2.70M,-2.79%
1/24/2022,12.02,11.47,12.03,11.01,4.94M,1.35%
1/25/2022,11.67,11.9,12.15,11.62,1.61M,-2.91%
1/26/2022,11.35,11.88,12.06,11.21,1.53M,-2.74%
1/27/2022,11.12,11.5,11.59,10.93,1.56M,-2.03%
1/28/2022,11.48,11.2,11.55,10.93,1.19M,3.24%
1/31/2022,11.65,11.54,11.93,11.33,1.62M,1.48%
2/1/2022,11.93,11.73,11.96,11.29,4.08M,2.40%
2/2/2022,11.8,12.05,12.05,11.55,1.66M,-1.09%
2/3/2022,12.02,11.62,12.87,11.55,8.02M,1.86%
2/4/2022,12.77,12.13,12.8,11.97,4.90M,6.24%
2/7/2022,15.09,13.27,18.52,13.21,64.34M,18.17%
2/8/2022,16.35,15.27,17,14.04,27.25M,8.35%
2/9/2022,14.09,16.49,16.72,13.32,17.28M,-13.82%
2/10/2022,14.12,13.54,15.14,13.37,5.12M,0.21%
2/11/2022,14.37,14.1,15.12,13.57,4.01M,1.77%
2/14/2022,14.54,14.36,15.44,14.1,3.18M,1.18%
2/15/2022,15,14.99,16,14.81,3.73M,3.16%
2/16/2022,15.61,15.34,15.83,15.03,3.03M,4.07%
2/17/2022,15.18,15.6,15.77,14.76,3.84M,-2.75%
2/18/2022,14.13,15.19,15.42,13.55,3.84M,-6.92%
2/22/2022,13.14,14.68,14.69,12.9,4.72M,-7.01%
2/23/2022,12.74,13.28,13.64,12.57,2.52M,-3.04%
2/24/2022,12.6,11.81,12.68,11.75,1.93M,-1.10%
2/25/2022,12.72,12.53,12.94,12.05,1.57M,0.95%
2/28/2022,12.37,12.55,12.8,12.25,1.08M,-2.75%
3/1/2022,11.88,12.25,12.41,11.77,1.82M,-3.96%
3/2/2022,12.3,11.95,12.48,11.92,1.54M,3.54%
3/3/2022,12.77,12.38,13.09,12.32,1.94M,3.82%
3/4/2022,12.37,12.6,12.89,11.95,1.23M,-3.13%
3/7/2022,11.34,12.05,12.1,11.21,2.10M,-8.33%
3/8/2022,11.51,11.17,11.88,10.9,2.24M,1.50%
3/9/2022,11.66,11.74,11.94,11.48,749.69K,1.30%
3/10/2022,11.43,11.49,11.7,11.21,1.16M,-1.97%
3/11/2022,11.71,11.52,12.2,11.25,1.50M,2.45%
3/14/2022,11.43,11.72,11.74,11.05,1.20M,-2.39%
3/15/2022,11.35,11.36,11.39,11.06,889.77K,-0.70%
3/16/2022,11.4,11.29,11.67,11.06,1.16M,0.44%
3/17/2022,11.4,11.38,11.52,11.22,538.66K,0.00%
3/18/2022,11.76,11.28,12.04,11.28,1.48M,3.16%
3/21/2022,11.78,11.78,11.98,11.32,1.23M,0.17%
3/22/2022,11.84,11.67,12.16,11.67,1.23M,0.51%
3/23/2022,11.57,11.77,11.89,11.5,732.87K,-2.28%
3/24/2022,11.8,11.5,12.32,11.28,2.00M,1.99%
3/25/2022,11.68,11.84,11.98,11.5,590.64K,-1.02%
3/28/2022,11.54,11.58,11.65,11.41,532.55K,-1.20%
3/29/2022,11.72,11.54,11.85,11.41,1.01M,1.56%
3/30/2022,11.8,11.7,12.41,11.55,2.51M,0.68%
3/31/2022,11.87,11.75,12.2,11.56,1.87M,0.59%
4/1/2022,11.59,11.77,12.16,11.36,1.62M,-2.36%
4/4/2022,11.48,11.3,11.48,11.22,1.08M,-0.95%
4/5/2022,11.16,11.39,11.46,10.86,1.46M,-2.79%
4/6/2022,11.47,11,11.55,10.96,981.56K,2.78%
4/7/2022,11.34,11.5,11.51,11.21,599.98K,-1.13%
4/8/2022,11.34,11.35,11.5,11.26,384.11K,0.00%
4/11/2022,11.29,11.22,11.35,11.15,375.61K,-0.44%
4/12/2022,11.33,11.2,11.53,11.14,1.15M,0.35%
4/13/2022,11.3,11.35,11.39,11.12,585.71K,-0.26%
4/14/2022,11.33,11.33,11.4,11.3,621.53K,0.27%
4/18/2022,11.16,11.25,11.27,11.13,554.95K,-1.50%
4/19/2022,11.32,11.16,11.47,11.13,552.73K,1.43%
4/20/2022,11.26,11.37,11.37,11.21,341.45K,-0.53%
4/21/2022,10.94,11.2,11.28,10.82,836.24K,-2.84%
4/22/2022,11.48,11.1,11.48,10.91,929.36K,4.94%
4/25/2022,11.06,11.47,11.48,10.96,1.06M,-3.66%
4/26/2022,11.29,11.04,11.34,10.94,1.40M,2.08%
4/27/2022,11.82,11.3,11.84,11.26,2.21M,4.69%
4/28/2022,11.73,11.93,11.94,11.43,814.03K,-0.76%
4/29/2022,12.48,11.94,12.49,11.72,1.74M,6.39%
5/2/2022,11.87,12.34,12.4,11.68,1.03M,-4.89%
